公交线路,站点
北京18路公交车路线 国际展览中心—惠新东桥西,"国际展览中心,静安庄,三元桥西站,左家庄,香河园,香河园路西口,北官厅,北小街豁口,雍和宫桥东,地坛西门,一四二中,蒋宅口,安外甘水桥,安贞桥北,安贞里,奥体东门,安苑东里,安苑路,惠新西街北口,惠新东桥西"
北京19路公交车路线 翠林小区—动物园枢纽站,"翠林小区,右安门外,右安门,右安门内,南樱桃园路口西,白纸坊,枣林前街,白广路北口,广安门内,广安门北,天宁寺桥东,西便门外,真武庙,礼士路南口,北京儿童医院西门,月坛公园,南礼士路北口,阜外医院,马尾沟,车公庄南街,三塔寺,二里沟东口,北京展览馆,动物园枢纽站"
北京20路公交车路线 北京南站—北京站东,"北京南站,永定门长途汽车站,陶然桥东,永定门内,先农坛,天坛西门,天桥,珠市口南,大栅栏,前门,前门东,正义路,台基厂路口西,崇文门西,北京站东"
北京21路公交车路线 安华桥北—北京西站,"安华桥北,安贞西里,地铁北土城站,健德门桥东,健德门桥西,牡丹园东,牡丹园西,塔院小区南门,蓟门桥北,蓟门桥南,明光桥南,文慧桥南,索家坟,西直门南,车公庄南,阜成门北,阜成门南,月坛体育场,儿童医院路口西,二七剧场路北口,三里河东口,西城三里河,木樨地北,木樨地西,军事博物馆,皇亭子,北京世纪坛医院,北京西站"
北京22路公交车路线 牡丹园西—前门,"牡丹园西,牡丹园,北太平桥南,铁狮子坟,北京师范大学,小西天,积水潭桥南,新街口北,新街口南,护国寺,平安里路口南,西四路口北,缸瓦市,甘石桥,西单商场,西单路口南,宣武门东,和平门东,前门"
北京23路公交车路线 朝阳半壁店—虎坊路,"朝阳半壁店,方家村,四根旗杆,小海子,唐家村,地铁百子湾站,东石门,大郊亭桥西,九龙山路口东,九龙山路口西,九龙花园,双井桥东,双井桥西,垂杨柳,马圈,广渠门内,安化楼,培新街,榄杆市,磁器口西,水道子,桥湾,东城三里河,过街楼,珠市口西,板章路,虎坊桥路口南,虎坊路"
北京24路公交车路线 左家庄—北京站,"左家庄,新源里,塔园村,春秀路,东直门,东直门内,东内小街,海运仓,东四九条,东四六条,朝内小街,演乐胡同,禄米仓,外交部街,北京站口北,北京站"
北京25路公交车路线 城外诚—北京南站,"城外诚,郭家村南,郭家村,成寿寺路,成寿寺路中街,方庄桥东,方庄桥西,方庄南口,方庄环岛南,方庄环岛西,蒲方路西口,安乐林路东口,李村,安乐林,沙子口东,永定门西,陶然亭公园南门,北京南站"
北京26路公交车路线 二里庄—西便门,"二里庄,二里庄北口,中国农业大学东校区,学院路北口,成府路口南,北京城市学院,保福寺桥西,中关村一街,中关村西,北京市地震局,人民大学西门,万泉庄,三义庙,四通桥南,中国农业科学院,魏公村,大慧寺,大柳树南站,北京交通大学,北下关,地铁西直门站,西直门外,北京展览馆,二里沟东口,百万庄东口,展览路口北,月坛北街北站,月坛南街北站,三里河东路南口,白云路,白云观,天宁寺桥西,天宁寺桥北,西便门"
北京27路公交车路线 定慧寺东—安定门外,"定慧寺东,西钓鱼台,航天桥西,航天桥北,花园桥南,花园桥东,老虎庙,外文印刷厂,四道口北,白石桥东,动物园,西直门外,玉桃园,积水潭桥东,德胜门,安德路西口,后九条,六铺炕,地兴居,安定门外"
北京28路公交车路线 东大桥公交场站—弘燕公交场站,"东大桥公交场站,芳草地,芳草地南,永安里路口北,大北窑西,大北窑南,双花园,双井桥,双井桥南,劲松桥南,潘家园桥,十里河桥北,十里河桥东,十里河居然之家,周家庄,西大望路南口,弘燕公交场站"
